specimen_id,collector_name,visual_description,instrument_notes
252,A. Petrov,"transparent, violet fluorescence, cubic habit",fluorescence detector offset +12nm on this batch
253,Prof. M. Okonkwo,"blue-green tint, vitreous, columnar",fluorescence detector offset +12nm on this batch
254,Prof. M. Okonkwo,"glassy luster, elongated hexagonal crystals",fluorescence detector offset +12nm on this batch
255,A. Petrov,"adamantine luster, small cubes, UV-reactive",fluorescence detector offset +12nm on this batch
256,Dr. K. Vasquez,"metallic luster, elongated orthorhombic crystals",fluorescence detector offset +12nm on this batch
257,Dr. S. Nakamura,"deep green, sub-vitreous, platy",fluorescence detector offset +12nm on this batch
258,Prof. M. Okonkwo,"waxy luster, flat hexagonal plates",fluorescence detector offset +12nm on this batch
259,Dr. S. Nakamura,"adamantine luster, small cubes, UV-reactive",fluorescence detector offset +12nm on this batch
260,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",fluorescence detector offset +12nm on this batch
261,Dr. S. Nakamura,"opaque, grey-silver, bladed habit",fluorescence detector offset +12nm on this batch
262,A. Petrov,"deep green, sub-vitreous, platy",fluorescence detector offset +12nm on this batch
263,Dr. K. Vasquez,"translucent, pale blue, prismatic habit",fluorescence detector offset +12nm on this batch
264,Prof. M. Okonkwo,"metallic luster, elongated orthorhombic crystals",fluorescence detector offset +12nm on this batch
265,Dr. L. Chen,"glassy luster, elongated hexagonal crystals",fluorescence detector offset +12nm on this batch
266,Dr. K. Vasquez,"translucent, pale blue, prismatic habit",fluorescence detector offset +12nm on this batch
267,A. Petrov,"waxy luster, flat hexagonal plates",fluorescence detector offset +12nm on this batch
268,Prof. M. Okonkwo,"waxy luster, flat hexagonal plates",fluorescence detector offset +12nm on this batch
269,Dr. L. Chen,"translucent, pale blue, prismatic habit",fluorescence detector offset +12nm on this batch
270,Dr. S. Nakamura,"opaque, dark green, tabular habit",fluorescence detector offset +12nm on this batch
271,Dr. K. Vasquez,"deep green, sub-vitreous, platy",fluorescence detector offset +12nm on this batch
272,Dr. K. Vasquez,"blue-green tint, vitreous, columnar",fluorescence detector offset +12nm on this batch
273,A. Petrov,"metallic luster, red-black cubes",fluorescence detector offset +12nm on this batch
274,Prof. M. Okonkwo,"opaque, deep red, cubic habit",fluorescence detector offset +12nm on this batch
275,A. Petrov,"translucent, amber, cubic habit",fluorescence detector offset +12nm on this batch
276,Dr. L. Chen,"translucent, pale blue, prismatic habit",fluorescence detector offset +12nm on this batch
277,Dr. S. Nakamura,"adamantine luster, small cubes, UV-reactive",fluorescence detector offset +12nm on this batch
278,Dr. S. Nakamura,"steel grey, fibrous, prismatic",fluorescence detector offset +12nm on this batch
279,Dr. L. Chen,"steel grey, fibrous, prismatic",fluorescence detector offset +12nm on this batch
280,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",fluorescence detector offset +12nm on this batch
281,Prof. M. Okonkwo,"blue-green tint, vitreous, columnar",fluorescence detector offset +12nm on this batch
282,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",fluorescence detector offset +12nm on this batch
283,A. Petrov,"translucent, pale blue, prismatic habit",fluorescence detector offset +12nm on this batch
284,Dr. L. Chen,"metallic luster, red-black cubes",fluorescence detector offset +12nm on this batch
285,Dr. K. Vasquez,"opaque, deep red, cubic habit",fluorescence detector offset +12nm on this batch
286,Dr. L. Chen,"deep green, sub-vitreous, platy",fluorescence detector offset +12nm on this batch
287,Prof. M. Okonkwo,"adamantine luster, small cubes, UV-reactive",fluorescence detector offset +12nm on this batch
288,Dr. L. Chen,"resinous luster, warm-toned cubes",fluorescence detector offset +12nm on this batch
289,Dr. S. Nakamura,"glassy luster, elongated hexagonal crystals",fluorescence detector offset +12nm on this batch
290,Dr. K. Vasquez,"steel grey, fibrous, prismatic",fluorescence detector offset +12nm on this batch
291,Dr. S. Nakamura,"glassy luster, elongated hexagonal crystals",fluorescence detector offset +12nm on this batch
292,Dr. K. Vasquez,"metallic luster, elongated orthorhombic crystals",fluorescence detector offset +12nm on this batch
293,A. Petrov,"translucent, pale blue, prismatic habit",fluorescence detector offset +12nm on this batch
294,Dr. K. Vasquez,"steel grey, fibrous, prismatic",fluorescence detector offset +12nm on this batch
295,Dr. L. Chen,"metallic luster, elongated orthorhombic crystals",fluorescence detector offset +12nm on this batch
296,A. Petrov,"opaque, grey-silver, bladed habit",fluorescence detector offset +12nm on this batch
297,Prof. M. Okonkwo,"steel grey, fibrous, prismatic",fluorescence detector offset +12nm on this batch
298,Prof. M. Okonkwo,"opaque, grey-silver, bladed habit",fluorescence detector offset +12nm on this batch
299,A. Petrov,"translucent, amber, cubic habit",fluorescence detector offset +12nm on this batch
300,A. Petrov,"metallic luster, elongated orthorhombic crystals",
301,Prof. M. Okonkwo,"glassy luster, elongated hexagonal crystals",
302,Dr. K. Vasquez,"transparent, violet fluorescence, cubic habit","high humidity during measurement, may affect readings"
303,Dr. S. Nakamura,"resinous luster, warm-toned cubes",
304,Dr. L. Chen,"opaque, grey-silver, bladed habit",
305,A. Petrov,"dark crimson, sub-metallic, granular",
306,Prof. M. Okonkwo,"opaque, deep red, cubic habit",
307,Dr. L. Chen,"resinous luster, warm-toned cubes",
308,Dr. S. Nakamura,"deep green, sub-vitreous, platy",
309,Dr. S. Nakamura,"waxy luster, flat hexagonal plates",recalibrated conductivity probe before measurement
310,Dr. L. Chen,"opaque, deep red, cubic habit",
311,Dr. L. Chen,"dark crimson, sub-metallic, granular",
312,Dr. S. Nakamura,"translucent, pale blue, prismatic habit",
313,Prof. M. Okonkwo,"adamantine luster, small cubes, UV-reactive",
314,Dr. K. Vasquez,"adamantine luster, small cubes, UV-reactive",
315,Dr. L. Chen,"translucent, pale blue, prismatic habit",
316,Dr. L. Chen,"metallic luster, red-black cubes",
317,A. Petrov,"metallic luster, red-black cubes",
318,Dr. K. Vasquez,"blue-green tint, vitreous, columnar","high humidity during measurement, may affect readings"
319,A. Petrov,"opaque, grey-silver, bladed habit",
320,Dr. L. Chen,"steel grey, fibrous, prismatic",recalibrated conductivity probe before measurement
321,Prof. M. Okonkwo,"transparent, violet fluorescence, cubic habit",
322,Prof. M. Okonkwo,"translucent, pale blue, prismatic habit",
323,Dr. S. Nakamura,"dark crimson, sub-metallic, granular",
324,A. Petrov,"steel grey, fibrous, prismatic",
325,Dr. K. Vasquez,"opaque, deep red, cubic habit",
326,Prof. M. Okonkwo,"steel grey, fibrous, prismatic",
327,A. Petrov,"opaque, deep red, cubic habit",
328,Dr. S. Nakamura,"metallic luster, red-black cubes",
329,A. Petrov,"opaque, dark green, tabular habit",
330,Dr. L. Chen,"adamantine luster, small cubes, UV-reactive",
331,Prof. M. Okonkwo,"translucent, pale blue, prismatic habit",
332,Dr. L. Chen,"clear with purple glow under UV, isometric",recalibrated conductivity probe before measurement
333,A. Petrov,"metallic luster, elongated orthorhombic crystals",
334,Prof. M. Okonkwo,"glassy luster, elongated hexagonal crystals",
335,Dr. K. Vasquez,"dark crimson, sub-metallic, granular","high humidity during measurement, may affect readings"
336,Dr. K. Vasquez,"translucent, pale blue, prismatic habit",
337,Dr. K. Vasquez,"opaque, deep red, cubic habit",
338,A. Petrov,"deep green, sub-vitreous, platy",
339,Prof. M. Okonkwo,"steel grey, fibrous, prismatic",
340,Dr. S. Nakamura,"glassy luster, elongated hexagonal crystals",
341,A. Petrov,"steel grey, fibrous, prismatic",
342,Dr. S. Nakamura,"steel grey, fibrous, prismatic",
343,Dr. S. Nakamura,"transparent, violet fluorescence, cubic habit",
344,Dr. K. Vasquez,"opaque, grey-silver, bladed habit",
345,Prof. M. Okonkwo,"opaque, grey-silver, bladed habit",
346,Dr. S. Nakamura,"steel grey, fibrous, prismatic",
347,A. Petrov,"blue-green tint, vitreous, columnar",
348,A. Petrov,"transparent, violet fluorescence, cubic habit",
349,Dr. L. Chen,"glassy luster, elongated hexagonal crystals",
350,Dr. L. Chen,"metallic luster, red-black cubes",
351,Prof. M. Okonkwo,"opaque, dark green, tabular habit",
352,A. Petrov,"resinous luster, warm-toned cubes",
353,Dr. L. Chen,"yellow-brown, sub-adamantine, blocky",
354,Dr. S. Nakamura,"yellow-brown, sub-adamantine, blocky",
355,Dr. L. Chen,"translucent, amber, cubic habit",
356,A. Petrov,"metallic luster, elongated orthorhombic crystals",
357,Dr. L. Chen,"opaque, grey-silver, bladed habit",
358,Prof. M. Okonkwo,"dark crimson, sub-metallic, granular",sample surface polished before reflectance measurement
359,Dr. K. Vasquez,"opaque, deep red, cubic habit",
360,Dr. L. Chen,"opaque, grey-silver, bladed habit",
361,Dr. S. Nakamura,"blue-green tint, vitreous, columnar",
362,Dr. L. Chen,"deep green, sub-vitreous, platy",
363,Dr. L. Chen,"glassy luster, elongated hexagonal crystals",
364,Prof. M. Okonkwo,"adamantine luster, small cubes, UV-reactive",
365,Dr. S. Nakamura,"resinous luster, warm-toned cubes",
366,Dr. S. Nakamura,"opaque, grey-silver, bladed habit",
367,A. Petrov,"transparent, violet fluorescence, cubic habit",
368,A. Petrov,"translucent, pale blue, prismatic habit",
369,Dr. K. Vasquez,"steel grey, fibrous, prismatic",
370,Dr. K. Vasquez,"opaque, grey-silver, bladed habit",
371,Dr. S. Nakamura,"glassy luster, elongated hexagonal crystals",
372,Dr. K. Vasquez,"translucent, amber, cubic habit",
373,A. Petrov,"blue-green tint, vitreous, columnar",
374,Dr. L. Chen,"blue-green tint, vitreous, columnar",
375,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",
376,A. Petrov,"metallic luster, elongated orthorhombic crystals",
377,Dr. L. Chen,"metallic luster, red-black cubes",
378,A. Petrov,"metallic luster, red-black cubes",
379,Dr. S. Nakamura,"dark crimson, sub-metallic, granular",
380,Dr. L. Chen,"transparent, violet fluorescence, cubic habit",
381,A. Petrov,"steel grey, fibrous, prismatic","high humidity during measurement, may affect readings"
382,A. Petrov,"steel grey, fibrous, prismatic",
383,Dr. L. Chen,"metallic luster, red-black cubes",
384,A. Petrov,"yellow-brown, sub-adamantine, blocky",
385,Prof. M. Okonkwo,"opaque, grey-silver, bladed habit","high humidity during measurement, may affect readings"
386,Dr. L. Chen,"translucent, amber, cubic habit",
387,Dr. K. Vasquez,"opaque, grey-silver, bladed habit",
388,A. Petrov,"waxy luster, flat hexagonal plates",
389,Prof. M. Okonkwo,"steel grey, fibrous, prismatic",
390,Prof. M. Okonkwo,"clear with purple glow under UV, isometric",recalibrated conductivity probe before measurement
391,Prof. M. Okonkwo,"glassy luster, elongated hexagonal crystals",recalibrated conductivity probe before measurement
392,Dr. S. Nakamura,"dark crimson, sub-metallic, granular",
393,Dr. S. Nakamura,"metallic luster, red-black cubes",
394,Prof. M. Okonkwo,"opaque, dark green, tabular habit",
395,Prof. M. Okonkwo,"resinous luster, warm-toned cubes",
396,Dr. S. Nakamura,"opaque, grey-silver, bladed habit",
397,Prof. M. Okonkwo,"deep green, sub-vitreous, platy",
398,Dr. K. Vasquez,"transparent, violet fluorescence, cubic habit",
399,Dr. K. Vasquez,"yellow-brown, sub-adamantine, blocky",
400,A. Petrov,"glassy luster, elongated hexagonal crystals",
401,Prof. M. Okonkwo,"metallic luster, elongated orthorhombic crystals",
402,Dr. S. Nakamura,"steel grey, fibrous, prismatic",
403,Prof. M. Okonkwo,"waxy luster, flat hexagonal plates",
404,Dr. S. Nakamura,"opaque, grey-silver, bladed habit",
405,Prof. M. Okonkwo,"opaque, grey-silver, bladed habit",
406,Dr. L. Chen,"opaque, dark green, tabular habit",
407,A. Petrov,"steel grey, fibrous, prismatic",sample surface polished before reflectance measurement
408,Dr. L. Chen,"waxy luster, flat hexagonal plates",
409,Dr. K. Vasquez,"steel grey, fibrous, prismatic",
410,Prof. M. Okonkwo,"clear with purple glow under UV, isometric",recalibrated conductivity probe before measurement
411,Dr. K. Vasquez,"opaque, deep red, cubic habit",
412,A. Petrov,"glassy luster, elongated hexagonal crystals",sample surface polished before reflectance measurement
413,Dr. K. Vasquez,"opaque, grey-silver, bladed habit",
414,Dr. L. Chen,"translucent, pale blue, prismatic habit",
415,Dr. L. Chen,"opaque, dark green, tabular habit",
416,Dr. K. Vasquez,"waxy luster, flat hexagonal plates",
417,A. Petrov,"opaque, grey-silver, bladed habit",
418,Dr. K. Vasquez,"waxy luster, flat hexagonal plates",
419,Dr. S. Nakamura,"metallic luster, elongated orthorhombic crystals",
420,Prof. M. Okonkwo,"dark crimson, sub-metallic, granular",
421,A. Petrov,"waxy luster, flat hexagonal plates",
422,Dr. L. Chen,"translucent, pale blue, prismatic habit",
423,Dr. K. Vasquez,"waxy luster, flat hexagonal plates",
424,Dr. K. Vasquez,"clear with purple glow under UV, isometric",
425,Dr. L. Chen,"metallic luster, elongated orthorhombic crystals",
426,A. Petrov,"deep green, sub-vitreous, platy",
427,Prof. M. Okonkwo,"steel grey, fibrous, prismatic","high humidity during measurement, may affect readings"
428,Dr. S. Nakamura,"deep green, sub-vitreous, platy",
429,A. Petrov,"opaque, grey-silver, bladed habit",
430,Dr. L. Chen,"metallic luster, elongated orthorhombic crystals",
431,Dr. S. Nakamura,"steel grey, fibrous, prismatic",
432,A. Petrov,"adamantine luster, small cubes, UV-reactive",
433,Dr. S. Nakamura,"steel grey, fibrous, prismatic",
434,A. Petrov,"translucent, pale blue, prismatic habit",
435,Dr. K. Vasquez,"blue-green tint, vitreous, columnar",
436,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",
437,Prof. M. Okonkwo,"adamantine luster, small cubes, UV-reactive",sample surface polished before reflectance measurement
438,Dr. L. Chen,"clear with purple glow under UV, isometric",
439,A. Petrov,"dark crimson, sub-metallic, granular",
440,A. Petrov,"metallic luster, elongated orthorhombic crystals",
441,A. Petrov,"translucent, pale blue, prismatic habit",
442,Dr. L. Chen,"yellow-brown, sub-adamantine, blocky",
443,Dr. S. Nakamura,"waxy luster, flat hexagonal plates",sample surface polished before reflectance measurement
444,Prof. M. Okonkwo,"translucent, pale blue, prismatic habit",
445,A. Petrov,"clear with purple glow under UV, isometric",
446,Dr. K. Vasquez,"metallic luster, elongated orthorhombic crystals",
447,Prof. M. Okonkwo,"yellow-brown, sub-adamantine, blocky",
448,Dr. S. Nakamura,"blue-green tint, vitreous, columnar",
449,Dr. L. Chen,"metallic luster, red-black cubes","high humidity during measurement, may affect readings"
450,Prof. M. Okonkwo,"translucent, pale blue, prismatic habit",
451,Dr. K. Vasquez,"steel grey, fibrous, prismatic",
452,A. Petrov,"opaque, deep red, cubic habit",
453,Dr. S. Nakamura,"glassy luster, elongated hexagonal crystals",
454,Dr. L. Chen,"glassy luster, elongated hexagonal crystals",
455,A. Petrov,"opaque, dark green, tabular habit",
456,Dr. L. Chen,"steel grey, fibrous, prismatic",
457,Dr. L. Chen,"metallic luster, red-black cubes",
458,A. Petrov,"steel grey, fibrous, prismatic",
459,Prof. M. Okonkwo,"dark crimson, sub-metallic, granular",
460,Prof. M. Okonkwo,"resinous luster, warm-toned cubes",
461,Prof. M. Okonkwo,"translucent, pale blue, prismatic habit",
462,Prof. M. Okonkwo,"steel grey, fibrous, prismatic",
463,Dr. L. Chen,"blue-green tint, vitreous, columnar",
464,A. Petrov,"adamantine luster, small cubes, UV-reactive",
465,A. Petrov,"transparent, violet fluorescence, cubic habit",
466,A. Petrov,"adamantine luster, small cubes, UV-reactive",
467,Dr. K. Vasquez,"metallic luster, elongated orthorhombic crystals",
468,Dr. L. Chen,"opaque, dark green, tabular habit",
469,Prof. M. Okonkwo,"metallic luster, red-black cubes",
470,Prof. M. Okonkwo,"translucent, amber, cubic habit",
471,Prof. M. Okonkwo,"opaque, deep red, cubic habit",
472,Dr. S. Nakamura,"opaque, dark green, tabular habit",
473,Dr. S. Nakamura,"opaque, dark green, tabular habit",
474,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",
475,Dr. K. Vasquez,"waxy luster, flat hexagonal plates",
476,Dr. L. Chen,"transparent, violet fluorescence, cubic habit",
477,Dr. K. Vasquez,"adamantine luster, small cubes, UV-reactive",
478,A. Petrov,"adamantine luster, small cubes, UV-reactive",
479,Prof. M. Okonkwo,"resinous luster, warm-toned cubes",
480,Dr. L. Chen,"opaque, deep red, cubic habit",recalibrated conductivity probe before measurement
481,Dr. S. Nakamura,"opaque, dark green, tabular habit",
482,Dr. L. Chen,"adamantine luster, small cubes, UV-reactive",
483,Dr. L. Chen,"waxy luster, flat hexagonal plates",sample surface polished before reflectance measurement
484,Dr. S. Nakamura,"waxy luster, flat hexagonal plates",
485,Prof. M. Okonkwo,"metallic luster, red-black cubes",
486,Prof. M. Okonkwo,"opaque, deep red, cubic habit",
487,Dr. S. Nakamura,"translucent, pale blue, prismatic habit",
488,A. Petrov,"metallic luster, red-black cubes",
489,Dr. L. Chen,"transparent, violet fluorescence, cubic habit",
490,Dr. K. Vasquez,"adamantine luster, small cubes, UV-reactive",
491,Dr. L. Chen,"metallic luster, red-black cubes",recalibrated conductivity probe before measurement
492,Dr. L. Chen,"metallic luster, red-black cubes",
493,Dr. S. Nakamura,"waxy luster, flat hexagonal plates",
494,A. Petrov,"opaque, grey-silver, bladed habit",
495,Dr. L. Chen,"transparent, violet fluorescence, cubic habit",
496,Prof. M. Okonkwo,"opaque, deep red, cubic habit",
497,Dr. S. Nakamura,"metallic luster, red-black cubes",
498,Dr. S. Nakamura,"translucent, amber, cubic habit",
499,Dr. L. Chen,"yellow-brown, sub-adamantine, blocky",
