Fe,Cr,Ni,Mo,V,hardness_HV,corrosion_resistance,cost_per_kg,notes
58.23,8.71,17.27,13.94,1.45,2013.56,102.0804,421.94,
56.82,15.33,16.08,2.52,9.17,-63.18,155.5189,402.4,
72.92,17.33,4.86,3.15,0.47,1226.34,71.3232,227.29,
82.82,12.35,0.61,3.38,1.74,981.15,16.635,188.2,"High Nickel content, verify with ICP-OES"
86.17,10.97,0.76,0.77,1.42,501.31,14.1998,156.04,
57.26,19.34,6.54,7.21,9.55,2132.38,71.6983,406.97,
87.03,6.86,3.82,1.14,1.69,416.49,24.9036,172.1,
76.14,15.94,5.93,0.88,1.42,708.11,70.3223,215.82,
70.36,7.22,6.06,13.65,2.73,1888.31,29.3822,349.02,
84.4,5.29,5.85,2.68,1.37,515.27,28.0155,205.81,
74.21,9.56,11.54,2.68,2.22,606.85,75.2906,265.39,
80.25,11.16,5.24,2.73,1.24,877.69,43.5925,210.9,"High Nickel content, verify with ICP-OES"
84.37,12.27,2.52,0.0,0.85,421.7,31.4851,161.28,
81.74,9.83,7.12,1.05,0.0,542.59,55.7328,185.49,
81.93,9.19,5.1,2.42,1.41,631.31,39.35,205.57,
82.33,9.81,6.1,0.51,0.0,505.91,53.6109,179.28,
79.75,14.45,3.36,0.5,1.04,554.35,47.6248,182.97,
80.12,14.13,3.88,1.47,0.43,719.63,45.8965,185.32,"High Nickel content, verify with ICP-OES"
87.24,9.53,0.54,0.65,1.52,467.39,14.7188,161.29,"High Vanadium content, verify with ICP-OES"
66.16,9.33,5.47,1.65,17.89,193.5,28.2327,434.52,
87.24,7.57,2.02,2.16,0.63,599.23,21.8477,166.65,
84.16,13.33,1.12,1.82,0.0,722.4,20.072,157.81,"High Vanadium content, verify with ICP-OES"
87.82,9.56,0.92,0.23,0.98,423.86,17.398,152.32,
76.27,17.71,4.34,1.41,0.83,787.39,65.4478,206.91,"High Vanadium content, verify with ICP-OES"
75.07,17.42,3.49,3.38,0.0,1239.73,59.8409,207.42,
77.5,11.89,7.84,2.38,0.54,758.57,65.6873,219.38,
84.97,9.34,3.43,1.46,0.25,618.58,35.9806,172.35,
66.11,18.23,2.31,11.08,2.25,3154.26,43.9824,316.73,"High Chromium content, verify with ICP-OES"
81.58,8.49,5.14,2.9,1.67,710.3,38.5102,212.08,
79.41,17.05,1.84,0.16,1.4,505.55,35.4753,172.34,
74.57,15.84,6.33,1.47,2.19,696.94,78.4461,225.37,
82.41,12.06,2.24,3.48,0.53,1018.35,28.9535,189.37,
76.27,10.88,7.96,3.23,1.62,897.56,64.3273,242.41,
85.8,10.3,0.49,2.81,0.53,798.12,16.2243,170.14,
72.43,4.83,2.12,16.51,3.26,1682.3,2.6539,355.0,
79.01,12.93,6.79,0.74,0.93,565.27,69.0202,198.29,
67.07,19.86,10.32,2.96,0.33,1294.27,139.5656,254.25,
86.44,6.98,5.25,0.3,0.65,365.68,31.6074,174.27,
81.74,12.98,1.11,3.43,1.86,983.87,25.3445,197.99,
68.48,2.3,2.53,18.08,8.11,1353.27,-40.1145,439.26,
78.3,11.27,5.13,3.36,0.71,1013.51,50.664,215.57,
73.92,0.68,11.06,12.87,1.77,517.45,5.6614,348.1,
77.7,10.21,7.88,2.55,0.99,694.79,61.0923,232.58,
72.73,9.25,15.26,0.03,2.49,227.98,103.2511,267.72,
56.32,15.76,4.35,10.88,12.34,2562.78,15.4166,458.86,
64.07,11.66,8.73,7.47,8.17,1266.58,52.9674,389.48,
78.66,15.91,2.98,0.88,0.0,684.89,52.7465,183.64,"High Molybdenum content, verify with ICP-OES"
68.94,16.35,2.18,0.8,11.69,863.39,31.5103,336.65,
79.02,15.63,2.31,0.62,1.65,586.8,39.5672,188.8,
89.71,8.77,1.2,0.33,0.28,399.71,16.9228,136.03,"High Molybdenum content, verify with ICP-OES"
88.17,7.5,0.0,2.43,1.83,615.35,10.7275,166.24,
81.64,9.06,3.8,3.41,1.76,818.95,32.8836,213.42,"High Molybdenum content, verify with ICP-OES"
88.72,7.52,1.96,1.29,1.17,453.18,17.9074,158.62,
88.91,6.3,2.85,1.9,0.33,503.97,19.1903,160.92,
61.58,0.71,18.85,2.17,16.49,-2167.82,8.6265,490.08,"High Chromium content, verify with ICP-OES"
59.63,2.74,10.71,10.09,17.33,-406.58,-39.7326,535.03,
83.57,9.99,4.72,0.62,0.45,526.73,43.7024,176.47,
85.91,10.27,2.06,1.35,0.77,603.77,23.7603,165.5,
81.2,10.02,5.76,1.39,2.47,513.12,44.7729,202.86,
56.33,9.77,6.6,10.37,17.2,1288.99,-16.6039,525.41,
77.28,15.63,4.11,1.99,0.4,986.09,56.6342,204.39,
62.28,4.16,13.8,17.16,2.93,1350.43,34.6528,433.74,
85.65,5.81,5.21,0.26,1.89,314.78,31.365,186.15,
71.54,17.19,6.53,2.49,1.22,1017.78,85.8898,236.55,
62.28,18.78,4.88,11.94,1.96,3462.72,74.1333,339.21,
85.06,7.46,4.78,2.05,0.39,593.92,30.0644,187.94,"High Chromium content, verify with ICP-OES"
75.29,15.16,6.31,1.81,1.62,831.12,74.0642,220.53,
80.47,2.54,2.62,1.81,13.3,434.19,0.6379,325.88,
76.5,15.3,5.54,1.35,1.55,701.35,64.9097,215.09,
78.53,5.25,7.41,6.61,3.18,781.63,28.3183,277.82,
76.09,17.06,3.58,1.79,1.56,838.76,53.7336,204.74,
74.73,17.29,6.03,1.71,0.47,930.77,83.244,218.25,
85.92,6.8,4.45,2.42,0.09,624.48,29.6685,179.94,
79.39,15.51,2.21,1.55,1.27,855.74,38.9529,188.43,"High Vanadium content, verify with ICP-OES"
73.86,16.72,6.07,0.19,1.67,538.77,81.6404,218.88,
55.49,5.82,16.89,2.31,19.87,-2117.21,53.6759,534.52,"High Chromium content, verify with ICP-OES"
81.88,12.93,0.73,3.55,0.0,1087.84,21.6111,178.98,
84.03,6.56,6.23,0.84,1.26,378.24,35.7474,194.87,
92.82,5.31,0.0,0.23,1.39,342.36,7.4907,133.22,
61.21,4.95,16.86,1.38,16.31,-1732.73,54.0488,467.71,
53.04,15.45,13.93,16.56,0.36,3980.41,151.7896,431.94,
84.86,6.29,4.11,3.03,1.43,640.98,25.5814,195.24,
72.6,2.72,15.17,3.58,5.1,-28.92,30.8106,328.89,
54.66,19.97,11.99,0.67,12.61,-259.77,161.2953,419.18,
76.73,16.48,6.03,0.38,0.16,645.67,74.0142,191.16,
73.83,17.84,3.74,3.46,1.44,1221.14,57.1946,222.35,
83.13,7.03,7.81,1.39,1.09,431.55,42.0287,199.64,"High Vanadium content, verify with ICP-OES"
77.61,13.71,7.56,0.0,0.63,535.83,76.6626,207.04,
87.16,11.17,1.29,0.62,0.69,473.56,18.8596,148.27,
81.48,10.09,5.02,2.88,1.18,765.09,44.502,200.08,"High Chromium content, verify with ICP-OES"
86.9,7.6,4.55,1.18,0.0,500.26,32.9669,167.48,
83.72,11.02,2.39,2.29,1.52,760.73,24.7935,181.57,"High Nickel content, verify with ICP-OES"
51.94,13.11,13.16,6.24,15.87,69.0,82.0221,513.79,
82.29,10.95,5.01,0.73,1.18,587.22,45.2161,191.8,"High Nickel content, verify with ICP-OES"
65.06,6.02,16.28,9.96,2.31,1100.22,72.0454,374.11,
82.07,16.26,0.7,1.57,0.61,692.39,20.3762,164.68,
82.97,9.03,5.73,0.51,1.88,346.2,44.5024,188.1,
75.13,7.09,2.42,12.06,2.49,1714.61,18.3415,305.81,
70.57,17.35,8.11,3.85,1.07,1224.61,103.5004,242.07,"High Vanadium content, verify with ICP-OES"
79.81,14.1,3.07,3.04,0.0,925.16,42.9825,185.64,
84.54,11.8,1.23,0.9,1.21,524.32,22.1398,169.45,
84.88,10.3,0.98,3.01,0.28,822.52,15.3702,175.12,
87.61,6.61,1.31,3.57,0.0,713.99,16.6622,168.69,
84.03,8.59,3.66,1.85,1.07,658.73,31.8036,189.06,
80.96,8.64,6.24,2.12,1.63,648.34,44.4705,213.89,
82.26,14.22,0.0,1.38,1.54,751.83,19.3499,171.79,
76.01,15.81,3.86,3.62,1.25,1127.4,53.2408,224.65,
74.32,16.54,4.4,3.48,0.98,1249.41,66.0666,221.89,
83.53,12.13,1.09,2.38,1.72,690.35,18.5218,178.87,
89.0,7.19,2.87,0.52,0.0,418.26,22.0625,146.37,
72.22,8.39,5.77,11.58,0.1,1959.91,50.277,299.18,
75.49,14.54,5.27,3.93,1.1,1189.33,58.9098,231.41,
72.79,14.91,6.62,2.95,2.16,985.93,81.1794,246.51,
57.0,17.33,2.25,14.61,8.83,3959.25,-2.7507,443.67,
74.29,13.5,8.0,3.73,0.81,1170.0,80.2144,239.46,
74.74,14.34,6.77,2.85,0.98,957.35,80.0245,224.72,"High Vanadium content, verify with ICP-OES"
80.54,15.59,1.14,2.33,1.88,934.85,21.2893,189.94,"High Nickel content, verify with ICP-OES"
74.62,16.49,0.56,7.46,1.4,2135.41,24.2482,241.94,
76.22,13.71,5.17,3.66,1.94,994.25,62.2582,232.67,
65.71,16.36,1.14,4.76,12.48,1717.42,4.6841,372.63,
74.99,0.27,10.48,13.69,0.71,592.18,10.3982,329.57,
75.18,16.55,5.98,0.43,1.86,657.39,71.3906,213.55,
77.73,16.21,2.28,1.73,1.05,987.59,40.3396,194.06,
80.96,16.92,2.01,0.68,0.4,546.9,31.6933,165.12,
75.69,13.16,8.17,3.25,1.25,881.01,75.224,234.55,
77.57,17.28,4.39,0.24,1.02,600.15,58.1815,186.22,
89.45,7.65,0.56,1.91,1.46,558.87,10.0997,157.77,
77.99,9.98,7.43,3.38,1.17,811.16,62.2151,228.11,
78.76,16.63,1.94,1.66,1.55,773.06,35.3691,194.59,"High Molybdenum content, verify with ICP-OES"
77.01,14.15,4.97,2.43,0.48,962.79,58.2585,206.84,
85.78,8.96,1.74,3.29,0.36,838.68,18.5735,178.09,
75.68,15.7,6.71,1.51,0.94,814.6,74.7262,214.76,
82.36,12.65,1.18,2.51,1.85,887.25,18.333,191.95,
85.01,10.34,0.0,4.27,0.16,961.15,14.9437,173.69,
89.14,7.88,0.0,2.21,0.78,577.25,12.366,158.64,"High Nickel content, verify with ICP-OES"
91.73,5.8,0.59,1.33,0.02,430.45,11.4623,139.02,"High Molybdenum content, verify with ICP-OES"
87.36,7.61,2.41,1.38,1.04,531.66,21.2231,165.15,
85.55,6.57,7.37,0.16,0.48,315.19,37.1614,178.74,
82.71,9.12,3.0,3.16,1.16,786.42,30.4694,205.38,
85.2,8.88,1.92,1.81,1.79,632.38,21.6199,176.81,
82.26,9.04,7.7,0.0,1.17,390.56,54.2602,190.39,
75.02,2.15,1.04,2.73,18.36,802.34,-11.5448,401.83,
90.58,7.47,0.28,0.49,1.55,393.01,10.1801,142.6,
78.95,12.45,4.55,3.29,0.0,1013.28,51.4262,201.56,"High Nickel content, verify with ICP-OES"
51.4,12.9,3.12,15.45,16.99,3046.91,-60.0403,563.32,
75.45,16.69,3.83,2.16,1.44,1026.95,54.088,221.93,
77.34,15.52,2.77,3.31,1.08,1128.55,40.0977,208.74,
86.35,10.57,2.64,0.54,0.32,419.6,27.8039,148.02,
89.38,5.08,1.12,2.35,1.94,572.34,11.6861,174.12,
61.63,6.27,17.75,11.75,3.31,1268.21,75.0546,406.39,
80.29,14.46,1.19,2.18,2.3,847.09,25.6724,194.8,
84.23,5.04,7.81,2.78,0.22,530.14,35.2717,197.93,
53.97,17.78,10.65,12.61,5.27,3065.07,112.7826,432.37,
80.29,12.47,2.39,3.17,1.1,893.77,31.2458,200.94,
81.29,12.62,1.69,3.5,0.35,1026.46,29.0539,190.37,
80.73,11.73,3.26,2.91,1.14,870.33,36.6636,202.81,
75.14,14.36,8.62,1.4,1.32,781.57,87.3893,225.08,
78.64,15.51,4.23,1.99,0.21,801.85,55.7113,188.09,"High Molybdenum content, verify with ICP-OES"
56.45,7.7,13.34,2.82,19.04,-1258.86,56.7848,517.41,
81.89,8.0,6.94,3.4,0.9,776.06,43.6725,213.18,
75.62,14.09,7.22,1.28,1.95,729.55,77.9624,216.68,
56.69,14.64,15.83,10.85,1.89,2559.5,152.6593,400.85,"High Chromium content, verify with ICP-OES"
60.24,17.15,15.71,2.12,4.18,526.79,185.2781,334.21,
58.02,0.55,19.74,7.59,14.27,-1793.47,-25.0729,522.63,
61.9,7.69,6.18,11.81,11.91,1434.25,-9.1753,461.01,
77.26,12.4,7.79,1.71,0.27,769.38,73.889,210.52,
86.45,10.29,0.9,1.22,1.37,471.21,17.8068,158.98,"High Vanadium content, verify with ICP-OES"
79.21,17.96,1.64,0.67,1.29,586.34,37.6451,182.63,
76.04,5.83,4.28,3.8,10.04,546.32,8.3813,329.23,
87.77,8.69,0.13,1.1,1.39,627.87,11.0467,171.51,
86.57,11.82,0.89,0.92,0.55,556.19,19.0049,154.16,
78.88,1.79,2.4,6.32,10.97,515.21,-16.8577,344.68,
76.73,16.03,4.99,2.75,0.0,943.52,65.4731,203.02,"High Nickel content, verify with ICP-OES"
81.81,7.51,6.61,2.95,1.46,566.91,39.4667,211.71,
82.17,9.86,3.33,2.8,1.51,801.04,30.9147,202.3,
78.47,17.18,1.04,3.19,0.07,1302.63,28.8083,192.1,
80.42,16.2,1.92,1.64,1.62,822.26,30.1396,180.86,
75.48,14.48,6.71,3.87,0.88,1136.91,75.1597,231.24,
87.15,7.64,2.28,0.56,2.1,450.31,19.625,167.7,
53.73,15.84,10.18,9.62,10.91,1814.78,78.1376,467.6,
86.34,10.77,0.83,0.45,1.91,485.71,18.2352,166.19,
78.75,17.36,1.48,1.85,0.52,1002.1,31.7747,182.85,
89.32,5.14,0.93,4.05,0.61,626.12,11.4925,169.48,
83.14,11.19,3.36,2.39,0.8,730.7,34.6329,178.68,
56.35,16.23,14.49,9.24,2.92,2274.62,159.3654,390.67,
69.49,7.57,1.05,6.76,15.89,1361.44,-27.1665,421.86,
75.94,15.02,6.41,0.38,2.08,588.04,72.6131,216.54,"High Nickel content, verify with ICP-OES"
81.62,12.93,0.33,3.83,0.23,1151.5,14.8142,184.97,
86.36,10.61,0.76,0.66,1.56,499.04,18.7587,159.03,"High Chromium content, verify with ICP-OES"
77.18,16.64,2.95,2.71,1.53,1146.89,43.6005,205.2,"High Chromium content, verify with ICP-OES"
79.17,13.11,3.76,3.81,0.91,1096.04,44.0746,209.86,
78.43,14.18,7.25,0.39,0.99,461.95,72.1065,196.28,"High Chromium content, verify with ICP-OES"
75.62,17.42,2.99,3.16,0.97,1172.73,48.7935,207.59,
77.23,14.14,4.18,3.83,0.64,1155.03,51.2836,216.05,"High Molybdenum content, verify with ICP-OES"
84.93,9.83,3.58,1.92,0.84,609.9,31.2132,169.37,"High Vanadium content, verify with ICP-OES"
78.27,13.79,5.49,2.62,0.57,948.92,59.8752,200.62,
82.39,7.53,6.04,3.21,1.29,744.99,40.0288,207.28,
89.98,6.85,2.37,0.76,0.37,382.4,17.8506,146.15,
77.7,16.48,1.94,2.37,1.7,977.26,33.3022,196.92,
64.04,12.25,5.29,12.62,6.11,2425.92,25.7173,393.56,
70.04,7.58,13.41,0.25,7.89,-377.88,77.7873,333.07,
80.83,11.72,3.88,2.85,0.28,835.14,42.981,194.8,
70.24,17.21,7.3,3.7,2.09,1191.49,92.6162,258.39,
51.02,15.13,15.26,9.59,9.34,1432.14,129.6196,478.54,
81.7,13.75,2.98,1.33,1.6,619.1,32.7684,177.41,
81.93,7.67,6.25,3.42,0.52,760.93,43.1566,207.87,
80.29,9.63,6.23,3.52,0.61,847.27,49.7207,208.88,
66.39,2.06,7.88,20.05,4.0,1167.78,-2.8889,434.01,
79.11,10.55,5.3,3.72,1.54,926.85,42.9871,229.45,"High Nickel content, verify with ICP-OES"
83.83,7.29,6.06,0.98,1.8,403.52,35.9443,197.95,
85.19,6.57,5.84,0.69,0.75,387.27,36.2282,182.37,
78.35,11.4,4.91,2.27,2.27,782.49,50.8822,223.7,
54.2,10.56,1.74,14.95,19.31,2757.55,-83.0282,572.74,
83.93,10.69,3.33,0.29,1.2,421.82,35.1403,172.36,
74.12,15.22,6.52,3.33,1.0,1144.4,78.7345,232.49,
76.03,14.89,6.56,2.18,1.48,805.74,72.8932,228.33,
81.07,16.47,1.09,0.87,1.02,609.45,24.1655,168.15,"High Molybdenum content, verify with ICP-OES"
90.92,5.74,0.24,2.02,1.63,497.39,7.3653,155.13,
78.89,13.49,6.57,0.11,0.17,570.12,69.2309,191.3,"High Chromium content, verify with ICP-OES"
54.67,16.14,10.29,16.28,2.08,4043.56,122.0231,422.8,
79.26,14.67,2.11,3.17,0.73,1047.31,33.6765,198.12,
74.56,9.19,6.55,4.2,4.01,810.03,48.581,281.31,"High Molybdenum content, verify with ICP-OES"
88.93,2.1,1.87,3.14,3.52,481.68,4.7347,205.86,
56.33,7.51,19.36,2.57,13.07,-1390.87,97.159,471.76,
76.95,10.02,7.07,4.0,2.31,905.34,54.8592,241.64,
84.25,7.72,4.78,1.0,1.15,456.49,35.435,189.71,
78.49,12.34,6.36,2.76,0.0,916.89,64.5063,208.81,
81.2,13.14,3.43,0.67,1.05,610.46,44.5878,182.45,
58.66,16.52,10.57,7.1,5.45,1812.45,117.9292,380.48,
83.59,9.38,4.55,3.08,0.13,732.86,37.6144,185.94,
83.0,7.87,7.27,2.74,0.91,668.66,45.3678,202.74,
61.08,9.43,9.14,18.87,0.99,2918.23,67.4824,412.63,
83.27,12.63,1.58,2.61,0.76,885.66,26.2286,178.38,
87.79,7.68,2.91,0.92,0.85,427.63,26.2684,154.42,
78.19,6.12,7.15,1.34,7.18,158.14,35.2267,278.75,
80.16,13.56,2.05,2.98,2.29,1077.56,25.4976,208.96,
90.29,6.56,0.53,2.66,0.0,559.45,13.1025,153.13,
82.09,10.48,2.88,4.19,1.42,944.17,28.0922,201.57,
57.2,3.34,19.21,9.69,9.79,-570.38,17.4219,493.45,
70.48,7.94,7.88,11.87,2.49,1618.67,41.7633,339.19,
87.07,8.01,0.77,3.6,1.34,738.64,13.1567,179.17,"High Molybdenum content, verify with ICP-OES"
81.66,10.64,3.56,2.44,1.99,750.36,33.0369,203.75,
64.99,7.84,6.49,8.55,11.08,1043.85,5.7581,423.92,
79.56,13.53,4.9,1.23,1.08,671.65,51.6337,188.75,
89.05,6.13,1.59,2.65,0.83,607.41,13.8718,167.59,
78.88,12.12,6.53,1.34,1.43,563.48,59.048,207.57,"High Molybdenum content, verify with ICP-OES"
54.2,12.23,13.3,0.99,19.03,-1296.5,104.9301,499.83,"High Vanadium content, verify with ICP-OES"
78.3,16.63,4.58,0.43,0.58,498.78,65.1025,176.23,
83.05,12.53,0.45,3.08,1.68,944.7,13.6587,188.84,
85.15,11.22,0.0,3.34,1.28,882.21,12.879,171.82,
73.23,7.15,11.36,5.17,3.05,754.73,58.9127,302.2,
59.44,3.64,12.63,17.43,7.32,906.9,-7.2974,490.62,"High Molybdenum content, verify with ICP-OES"
75.96,15.98,3.88,2.5,1.47,932.03,52.0047,218.17,
84.8,10.3,2.79,1.53,0.0,638.69,31.8546,168.72,"High Nickel content, verify with ICP-OES"
54.1,16.67,5.79,5.89,17.22,1405.52,35.8177,493.35,
81.45,11.49,4.08,2.95,0.54,868.57,40.6339,190.32,
84.02,9.51,4.87,0.56,0.99,386.38,41.5845,174.08,
89.63,7.59,1.03,0.31,1.12,426.01,15.1569,145.21,
74.69,17.39,3.5,3.45,2.14,1235.96,50.5448,228.85,"High Chromium content, verify with ICP-OES"
76.16,13.48,7.09,2.41,0.95,896.47,72.3781,222.4,
84.03,4.95,4.32,4.12,2.08,654.63,21.3335,214.16,
80.3,13.86,2.6,3.41,0.11,1134.01,37.357,193.33,
62.88,16.43,2.43,0.83,16.82,862.07,33.5334,405.2,"High Molybdenum content, verify with ICP-OES"
77.63,11.37,6.93,2.65,0.56,782.38,67.6928,217.26,
84.44,5.81,7.48,1.02,0.14,451.79,37.4452,187.77,
77.0,17.49,0.67,3.61,1.62,1316.94,24.9746,207.1,
66.0,9.89,9.26,7.86,7.32,1063.71,47.9808,374.29,
89.48,6.14,1.04,3.19,1.08,628.94,10.895,166.56,
80.0,13.1,0.59,3.17,3.98,1023.06,14.7946,227.82,
92.35,5.16,1.0,0.0,0.58,338.79,12.0688,130.95,
76.2,16.64,4.69,2.42,0.21,1050.44,62.2208,205.43,
83.87,7.88,3.12,3.9,0.22,795.91,27.9418,196.57,
66.23,10.79,4.01,6.69,13.2,1302.75,6.2572,406.07,"High Chromium content, verify with ICP-OES"
84.42,10.82,2.16,2.61,0.07,821.96,24.8037,175.93,
73.86,3.2,1.86,10.36,10.94,1053.85,-24.9516,379.38,"High Nickel content, verify with ICP-OES"
79.0,10.53,7.82,2.41,0.84,677.87,64.9185,217.18,
87.39,5.37,4.43,1.16,1.26,389.16,25.7001,175.76,
74.04,18.05,2.96,3.34,1.0,1342.8,58.7987,223.43,"High Molybdenum content, verify with ICP-OES"
74.98,15.62,5.53,2.91,0.84,1125.9,66.6453,221.91,
76.39,16.5,5.03,1.33,1.23,757.9,66.3683,209.52,
76.29,17.15,2.68,2.34,1.57,882.03,48.975,205.93,
79.57,14.53,3.58,0.81,1.08,609.83,47.8874,192.53,
82.65,6.88,4.99,3.81,2.05,660.41,32.8246,211.99,
84.49,6.33,7.68,0.06,0.05,402.63,40.1466,181.97,
76.23,12.1,6.71,3.54,0.9,881.55,64.8358,232.44,"High Vanadium content, verify with ICP-OES"
85.48,9.82,3.83,0.28,0.4,447.81,34.0015,165.06,
85.86,6.32,4.5,2.43,0.23,626.33,28.6833,180.43,"High Molybdenum content, verify with ICP-OES"
74.46,15.19,5.69,3.14,0.82,1119.98,71.67,228.22,
74.39,4.5,7.4,3.05,8.94,236.68,18.3419,332.25,
84.25,8.33,5.56,1.19,0.06,519.77,40.7693,183.88,
84.61,10.26,2.83,2.2,0.33,602.75,27.9821,166.58,
90.83,5.86,0.19,2.03,1.09,505.08,8.3756,150.86,
79.64,12.65,4.65,2.92,0.0,995.33,48.2861,201.74,
72.29,15.64,6.9,4.04,2.11,1250.72,78.8051,253.97,
68.23,6.2,7.78,5.57,12.5,286.54,17.613,400.69,
72.63,6.88,10.92,6.64,3.38,752.35,52.845,307.94,
83.14,6.05,7.41,1.36,2.06,428.66,35.9044,208.63,
87.25,7.25,1.11,2.93,0.34,700.25,16.4311,171.7,
62.72,3.31,13.35,16.38,4.8,807.37,9.6859,446.94,
77.86,17.46,2.01,1.31,0.62,889.5,40.0377,189.69,
